Day,Subject,Session,Time,Response,Reward,Trial
7,2,weathertaskL,4039,1,1,49
7,2,weathertaskL,4094,1,1,50
7,2,weathertaskL,4135,1,1,51
7,2,weathertaskL,4290,1,1,52
7,2,weathertaskL,4446,1,1,53
7,2,weathertaskL,4608,1,1,54
7,2,weathertaskL,4771,1,1,55
7,2,weathertaskL,5011,0,0,56
7,2,weathertaskL,5179,1,1,57
7,2,weathertaskL,5320,1,1,58
7,2,weathertaskL,5510,1,1,59
7,2,weathertaskL,5647,1,1,60
7,2,weathertaskL,5887,0,0,61
7,2,weathertaskL,6127,0,0,62
7,2,weathertaskL,6367,0,0,63
7,2,weathertaskL,6607,0,0,64
7,2,weathertaskL,6743,1,1,65
7,2,weathertaskL,6769,1,1,66
7,2,weathertaskL,6779,1,1,67
7,2,weathertaskL,6823,1,1,68
7,2,weathertaskL,6870,1,1,69
7,2,weathertaskL,6971,-1,0,70
7,2,weathertaskL,7023,-1,0,71
7,2,weathertaskL,7100,-1,0,72
7,2,weathertaskL,7108,-1,0,73
7,2,weathertaskL,7115,-1,0,74
7,2,weathertaskL,7355,0,0,75
7,2,weathertaskL,7502,1,1,76
7,2,weathertaskL,7738,1,1,77
7,2,weathertaskL,7931,1,1,78
7,2,weathertaskL,8171,0,0,79
7,2,weathertaskL,8411,0,0,80
7,2,weathertaskL,8651,0,0,81
7,2,weathertaskL,8891,0,0,82
7,2,weathertaskL,9040,1,1,83
7,2,weathertaskL,9280,0,0,84
7,2,weathertaskL,9482,1,1,85
7,2,weathertaskL,9631,1,1,86
7,2,weathertaskL,9672,1,1,87
7,2,weathertaskL,9706,1,1,88
7,2,weathertaskL,9717,1,1,89
7,2,weathertaskL,9789,1,1,90
